Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,day,month,year,season
2015-01-01,251.07573333333332,281.21573333333333,104.45333333333333,76.5856,128.9512,25.851733333333332,4.992693333333333,48.29866666666667,102.81413333333334,9.946853333333333,14.78344,5.0258400000000005,252.3002666666667,1,1,2015,Winter
2015-01-02,257.36826666666667,300.32293333333337,104.56719999999999,71.69359999999999,121.0152,25.330399999999997,5.148746666666667,49.1632,97.16319999999999,10.504426666666665,14.731253333333335,5.074693333333333,252.15386666666666,2,1,2015,Winter
2015-01-03,241.27413333333334,295.2538666666667,98.6104,74.0584,119.41813333333334,26.239466666666665,4.80344,50.52213333333333,98.35946666666668,9.540293333333334,15.065866666666667,4.991013333333334,238.53813333333335,3,1,2015,Winter
2015-01-04,263.0064,298.2432,90.90186666666666,76.54373333333334,122.4568,25.553866666666668,5.04248,52.49493333333333,97.98213333333334,9.587253333333333,15.364853333333333,4.69536,248.69333333333333,4,1,2015,Winter
2015-01-05,253.068,302.55039999999997,104.9776,74.09813333333334,127.96186666666667,24.50186666666667,5.089973333333333,52.833333333333336,93.08613333333334,10.2524,14.613653333333334,5.008373333333334,255.06026666666668,5,1,2015,Winter
2015-01-06,250.26906666666665,295.05466666666666,99.89386666666665,76.09573333333334,124.8944,24.509866666666667,4.779226666666667,51.776266666666665,98.51813333333334,10.024506666666667,15.528160000000002,5.252906666666666,250.13226666666668,6,1,2015,Winter
2015-01-07,251.86639999999997,297.6725333333333,99.768,79.276,120.69306666666667,23.73173333333333,4.898666666666666,50.57626666666666,99.61680000000001,9.950586666666666,14.364666666666666,4.957120000000001,241.188,7,1,2015,Winter
2015-01-08,253.16293333333334,305.8757333333333,96.44186666666666,77.38666666666667,124.48373333333333,25.127466666666663,4.94816,49.088,98.99013333333335,9.816053333333333,14.895226666666666,4.814213333333333,239.30826666666667,8,1,2015,Winter
2015-01-09,265.9592,276.83546666666666,103.90719999999999,76.57813333333333,124.37440000000001,24.855733333333333,4.6368,49.94186666666667,103.80186666666665,9.91784,14.720666666666666,4.991733333333333,240.18746666666667,9,1,2015,Winter
2015-01-10,252.4288,304.4117333333333,100.91066666666667,79.64186666666667,127.27253333333333,25.7224,4.94608,49.108533333333334,97.37626666666667,9.96552,15.849733333333333,5.0241066666666665,233.34853333333334,10,1,2015,Winter
2015-01-11,246.02453333333332,295.4685333333333,96.47626666666666,75.01146666666666,131.888,24.223466666666663,5.0392,49.8328,98.50319999999999,9.998773333333332,15.150266666666667,5.0196266666666665,244.74053333333333,11,1,2015,Winter
